# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.4080000000,41.6314375755
0.4090000000,41.6373197517
0.4100000000,41.6431879020
0.4110000000,41.6490420921
0.4120000000,41.6548823873
0.4130000000,41.6607088523
0.4140000000,41.6665215516
0.4150000000,41.6723205491
0.4160000000,41.6781059081
0.4170000000,41.6838776917
0.4180000000,41.6896359625
0.4190000000,41.6953807826
0.4200000000,41.7011122137
0.4210000000,41.7068303170
0.4220000000,41.7125351534
0.4230000000,41.7182267833
0.4240000000,41.7239052667
0.4250000000,41.7295706633
0.4260000000,41.7352230321
0.4270000000,41.7408624319
0.4280000000,41.7464889212
0.4290000000,41.7521025578
0.4300000000,41.7577033994
0.4310000000,41.7632915032
0.4320000000,41.7688669259
0.4330000000,41.7744297239
0.4340000000,41.7799799534
0.4350000000,41.7855176699
0.4360000000,41.7910429287
0.4370000000,41.7965557848
0.4380000000,41.8020562927
0.4390000000,41.8075445066
0.4400000000,41.8130204802
0.4410000000,41.8184842672
0.4420000000,41.8239359205
0.4430000000,41.8293754929
0.4440000000,41.8348030369
0.4450000000,41.8402186046
0.4460000000,41.8456222475
0.4470000000,41.8510140173
0.4480000000,41.8563939648
0.4490000000,41.8617621408
0.4500000000,41.8671185958
0.4510000000,41.8724633797
0.4520000000,41.8777965423
0.4530000000,41.8831181331
0.4540000000,41.8884282012
0.4550000000,41.8937267952
0.4560000000,41.8990139638
0.4570000000,41.9042897550
0.4580000000,41.9095542168
0.4590000000,41.9148073966
0.4600000000,41.9200493418
0.4610000000,41.9252800993
0.4620000000,41.9304997157
0.4630000000,41.9357082374
0.4640000000,41.9409057104
0.4650000000,41.9460921806
0.4660000000,41.9512676935
0.4670000000,41.9564322942
0.4680000000,41.9615860277
0.4690000000,41.9667289386
0.4700000000,41.9718610713
0.4710000000,41.9769824699
0.4720000000,41.9820931782
0.4730000000,41.9871932397
0.4740000000,41.9922826978
0.4750000000,41.9973615955
0.4760000000,42.0024299754
0.4770000000,42.0074878802
0.4780000000,42.0125353520
0.4790000000,42.0175724328
0.4800000000,42.0225991643
0.4810000000,42.0276155881
0.4820000000,42.0326217452
0.4830000000,42.0376176767
0.4840000000,42.0426034233
0.4850000000,42.0475790255
0.4860000000,42.0525445235
0.4870000000,42.0574999573
0.4880000000,42.0624453666
0.4890000000,42.0673807910
0.4900000000,42.0723062698
0.4910000000,42.0772218419
0.4920000000,42.0821275462
0.4930000000,42.0870234214
0.4940000000,42.0919095057
0.4950000000,42.0967858372
0.4960000000,42.1016524540
0.4970000000,42.1065093936
0.4980000000,42.1113566935
0.4990000000,42.1161943911
0.5000000000,42.1210225232
0.5010000000,42.1258411268
0.5020000000,42.1306502384
0.5030000000,42.1354498944
0.5040000000,42.1402401311
0.5050000000,42.1450209842
0.5060000000,42.1497924897
0.5070000000,42.1545546831
0.5080000000,42.1593075997
0.5090000000,42.1640512747
0.5100000000,42.1687857430
0.5110000000,42.1735110394
0.5120000000,42.1782271985
0.5130000000,42.1829342545
0.5140000000,42.1876322417
0.5150000000,42.1923211939
0.5160000000,42.1970011451
0.5170000000,42.2016721288
0.5180000000,42.2063341783
0.5190000000,42.2109873270
0.5200000000,42.2156316077
0.5210000000,42.2202670534
0.5220000000,42.2248936967
0.5230000000,42.2295115700
0.5240000000,42.2341207058
0.5250000000,42.2387211360
0.5260000000,42.2433128927
0.5270000000,42.2478960076
0.5280000000,42.2524705122
0.5290000000,42.2570364380
0.5300000000,42.2615938163
0.5310000000,42.2661426780
0.5320000000,42.2706830541
0.5330000000,42.2752149754
0.5340000000,42.2797384723
0.5350000000,42.2842535753
