# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.5470000000,42.0725199451
0.5480000000,42.0767987668
0.5490000000,42.0810700997
0.5500000000,42.0853339705
0.5510000000,42.0895904057
0.5520000000,42.0938394319
0.5530000000,42.0980810751
0.5540000000,42.1023153615
0.5550000000,42.1065423172
0.5560000000,42.1107619679
0.5570000000,42.1149743393
0.5580000000,42.1191794571
0.5590000000,42.1233773466
0.5600000000,42.1275680331
0.5610000000,42.1317515419
0.5620000000,42.1359278978
0.5630000000,42.1400971259
0.5640000000,42.1442592508
0.5650000000,42.1484142972
0.5660000000,42.1525622897
0.5670000000,42.1567032525
0.5680000000,42.1608372100
0.5690000000,42.1649641862
0.5700000000,42.1690842051
0.5710000000,42.1731972906
0.5720000000,42.1773034665
0.5730000000,42.1814027564
0.5740000000,42.1854951837
0.5750000000,42.1895807719
0.5760000000,42.1936595441
0.5770000000,42.1977315236
0.5780000000,42.2017967334
0.5790000000,42.2058551963
0.5800000000,42.2099069352
0.5810000000,42.2139519726
0.5820000000,42.2179903312
0.5830000000,42.2220220334
0.5840000000,42.2260471015
0.5850000000,42.2300655577
0.5860000000,42.2340774241
0.5870000000,42.2380827226
0.5880000000,42.2420814753
0.5890000000,42.2460737037
0.5900000000,42.2500594296
0.5910000000,42.2540386745
0.5920000000,42.2580114598
0.5930000000,42.2619778069
0.5940000000,42.2659377370
0.5950000000,42.2698912711
0.5960000000,42.2738384304
0.5970000000,42.2777792357
0.5980000000,42.2817137077
0.5990000000,42.2856418673
0.6000000000,42.2895637349
0.6010000000,42.2934793311
0.6020000000,42.2973886763
0.6030000000,42.3012917908
0.6040000000,42.3051886947
0.6050000000,42.3090794081
0.6060000000,42.3129639511
0.6070000000,42.3168423435
0.6080000000,42.3207146051
0.6090000000,42.3245807557
0.6100000000,42.3284408147
0.6110000000,42.3322948018
0.6120000000,42.3361427363
0.6130000000,42.3399846376
0.6140000000,42.3438205249
0.6150000000,42.3476504174
0.6160000000,42.3514743339
0.6170000000,42.3552922936
0.6180000000,42.3591043153
0.6190000000,42.3629104177
0.6200000000,42.3667106196
0.6210000000,42.3705049394
0.6220000000,42.3742933957
